node_id	reason	capacity	area_3857
5732701472	capacity_suspiciously_high	8	0
9583512335	capacity_suspiciously_high	50	0
7711594985	capacity_suspiciously_high	5	0
9631483941	capacity_suspiciously_high	6	0
7771032859	capacity_suspiciously_high	6	0
4243973705	capacity_suspiciously_high	24	0
9222710654	capacity_suspiciously_high	6	0
9094233018	capacity_suspiciously_high	5	0
8068403493	capacity_suspiciously_high	6	0
7727416385	capacity_suspiciously_high	8	0
5798934453	capacity_suspiciously_high	5	0
5458446256	capacity_suspiciously_high	10	0
9105443511	capacity_suspiciously_high	14	0
6919067435	capacity_suspiciously_high	12	0
3280925951	capacity_suspiciously_high	10	0
9584793456	capacity_suspiciously_high	22	0
9141269506	capacity_suspiciously_high	16	0
4128107268	capacity_suspiciously_high	24	0
9544355655	capacity_suspiciously_high	20	0
9376478535	capacity_suspiciously_high	6	0
9297167403	capacity_suspiciously_high	6	0
5420281321	capacity_suspiciously_high	12	0
8296286424	capacity_suspiciously_high	8	0
10593005723	capacity_suspiciously_high	18	0
10657916364	capacity_suspiciously_high	8	0
5763025556	capacity_suspiciously_high	10	0
10598345461	capacity_suspiciously_high	12	0
4277997935	capacity_suspiciously_high	8	0
3081365539	capacity_suspiciously_high	6	0
3081365538	capacity_suspiciously_high	6	0
7741466124	capacity_suspiciously_high	350	0
2316703852	capacity_suspiciously_high	8	0
3918525558	capacity_suspiciously_high	8	0
10576778853	capacity_suspiciously_high	6	0
10576778857	capacity_suspiciously_high	6	0
10576778858	capacity_suspiciously_high	6	0
10576778856	capacity_suspiciously_high	6	0
10576778855	capacity_suspiciously_high	6	0
10576778854	capacity_suspiciously_high	6	0
9142096682	capacity_suspiciously_high	8	0
10567560547	capacity_suspiciously_high	12	0
10657916366	capacity_suspiciously_high	8	0
10657916367	capacity_suspiciously_high	8	0
8200089395	capacity_suspiciously_high	12	0
8200089394	capacity_suspiciously_high	12	0
10124679954	capacity_suspiciously_high	9	0
8200089386	capacity_suspiciously_high	12	0
4277997937	capacity_suspiciously_high	8	0
10657916368	capacity_suspiciously_high	12	0
10657916363	capacity_suspiciously_high	20	0
10576765747	capacity_suspiciously_high	6	0
10576765745	capacity_suspiciously_high	6	0
10576765746	capacity_suspiciously_high	6	0
10576765744	capacity_suspiciously_high	6	0
8946411348	capacity_suspiciously_high	6	0
10576765743	capacity_suspiciously_high	6	0
4100673761	capacity_suspiciously_high	8	0
3281030556	capacity_suspiciously_high	12	0
8628903036	capacity_suspiciously_high	12	0
8629057011	capacity_suspiciously_high	6	0
8629343354	capacity_suspiciously_high	6	0
